genes,gene_short_name,GC_content,Gene_type,Transcript_name
CCT2,CCT2,39.37,protein_coding,CCT2-201
CCT3,CCT3,45.93,protein_coding,CCT3-201
CCT4,CCT4,40.97,protein_coding,CCT4-201
CCT5,CCT5,43.6,protein_coding,CCT5-201
CCT6A,CCT6A,41.19,protein_coding,CCT6A-201
CCT6B,CCT6B,39.87,protein_coding,CCT6B-202
CCT7,CCT7,46.07,protein_coding,CCT7-208
CCT8,CCT8,38.32,protein_coding,CCT8-203
CCZ1,CCZ1,46.24,protein_coding,CCZ1-202
CCZ1B,CCZ1B,46.69,protein_coding,CCZ1B-203
CD109,CD109,38.58,protein_coding,CD109-201
CD151,CD151,63.31,protein_coding,CD151-204
CD160,CD160,42.04,protein_coding,CD160-205
CD163,CD163,37.42,protein_coding,CD163-201
CD164,CD164,38.12,protein_coding,CD164-205
CD180,CD180,42.96,protein_coding,CD180-201
CD209,CD209,53.09,protein_coding,CD209-203
CD22,CD22,50.24,protein_coding,CD22-219
CD226,CD226,39.64,protein_coding,CD226-203
CD24,CD24,50.84,protein_coding,CD24-204
CD276,CD276,52.51,protein_coding,CD276-218
CD2AP,CD2AP,36.38,protein_coding,CD2AP-201
CD2BP2,CD2BP2,57.83,protein_coding,CD2BP2-201
CD300LD,CD300LD,45.64,protein_coding,CD300LD-201
CD320,CD320,58.36,protein_coding,CD320-203
CD34,CD34,45.46,protein_coding,CD34-201
CD36,CD36,36.03,protein_coding,CD36-209
CD37,CD37,57.54,protein_coding,CD37-202
CD3EAP,CD3EAP,53.31,protein_coding,CD3EAP-201
CD3G,CD3G,42.54,protein_coding,CD3G-207
CD44,CD44,41.56,protein_coding,CD44-201
CD46,CD46,38.21,protein_coding,CD46-205
CD47,CD47,37.38,protein_coding,CD47-201
CD55,CD55,36.37,protein_coding,CD55-204
CD59,CD59,43.13,protein_coding,CD59-214
CD6,CD6,49.93,protein_coding,CD6-201
CD63,CD63,59.18,protein_coding,CD63-207
CD68,CD68,55.89,protein_coding,CD68-201
CD74,CD74,53.07,protein_coding,CD74-201
CD81,CD81,63.44,protein_coding,CD81-205
CD82,CD82,53.56,protein_coding,CD82-208
CD84,CD84,41.6,protein_coding,CD84-206
CD9,CD9,51.04,protein_coding,CD9-203
CD96,CD96,38.02,protein_coding,CD96-204
CD99,CD99,47.38,protein_coding,CD99-205
CD99L2,CD99L2,43.02,protein_coding,CD99L2-201
CDAN1,CDAN1,54.45,protein_coding,CDAN1-201
CDC123,CDC123,42.91,protein_coding,CDC123-203
CDC16,CDC16,41.32,protein_coding,CDC16-212
CDC20B,CDC20B,39.64,protein_coding,CDC20B-201
CDC23,CDC23,41.22,protein_coding,CDC23-202
CDC26,CDC26,43.06,protein_coding,CDC26-202
CDC27,CDC27,38.66,protein_coding,CDC27-201
CDC37,CDC37,54.04,protein_coding,CDC37-201
CDC40,CDC40,37.34,protein_coding,CDC40-207
CDC42,CDC42,43.81,protein_coding,CDC42-206
CDC42BPA,CDC42BPA,36.66,protein_coding,CDC42BPA-204
CDC42BPB,CDC42BPB,48.99,protein_coding,CDC42BPB-201
CDC42EP1,CDC42EP1,58.77,protein_coding,CDC42EP1-201
CDC42EP3,CDC42EP3,41.38,protein_coding,CDC42EP3-201
CDC42SE1,CDC42SE1,46.96,protein_coding,CDC42SE1-202
CDC42SE2,CDC42SE2,39.71,protein_coding,CDC42SE2-206
CDC5L,CDC5L,38.46,protein_coding,CDC5L-201
CDC6,CDC6,43.52,protein_coding,CDC6-201
CDC73,CDC73,35.66,protein_coding,CDC73-201
CDCA3,CDCA3,52.08,protein_coding,CDCA3-202
CDCP1,CDCP1,45.19,protein_coding,CDCP1-201
CDH1,CDH1,46.88,protein_coding,CDH1-201
CDH13,CDH13,42.22,protein_coding,CDH13-209
CDH17,CDH17,40.61,protein_coding,CDH17-201
CDH18,CDH18,34.89,protein_coding,CDH18-209
CDH3,CDH3,49.26,protein_coding,CDH3-204
CDH6,CDH6,38.31,protein_coding,CDH6-205
CDH7,CDH7,35.27,protein_coding,CDH7-201
CDH8,CDH8,36.82,protein_coding,CDH8-205
CDHR4,CDHR4,54.98,protein_coding,CDHR4-204
CDIPT,CDIPT,56.33,protein_coding,CDIPT-201
CDK10,CDK10,55.37,protein_coding,CDK10-201
CDK11A,CDK11A,52.05,protein_coding,CDK11A-201
CDK11B,CDK11B,51.91,protein_coding,CDK11B-206
CDK12,CDK12,44.39,protein_coding,CDK12-202
CDK13,CDK13,38.73,protein_coding,CDK13-201
CDK16,CDK16,54.42,protein_coding,CDK16-210
CDK17,CDK17,37.8,protein_coding,CDK17-201
CDK19,CDK19,39.87,protein_coding,CDK19-202
CDK2,CDK2,47.7,protein_coding,CDK2-201
CDK2AP1,CDK2AP1,53.31,protein_coding,CDK2AP1-212
CDK2AP2,CDK2AP2,62.33,protein_coding,CDK2AP2-201
CDK4,CDK4,53.24,protein_coding,CDK4-201
CDK5RAP1,CDK5RAP1,44.4,protein_coding,CDK5RAP1-204
CDK5RAP2,CDK5RAP2,43.21,protein_coding,CDK5RAP2-201
CDK5RAP3,CDK5RAP3,51.5,protein_coding,CDK5RAP3-214
CDK6,CDK6,38.2,protein_coding,CDK6-201
CDK7,CDK7,40.47,protein_coding,CDK7-217
CDKAL1,CDKAL1,38.04,protein_coding,CDKAL1-202
CDKL1,CDKL1,43.04,protein_coding,CDKL1-203
CDKL3,CDKL3,40.16,protein_coding,CDKL3-205
CDKL5,CDKL5,40.21,protein_coding,CDKL5-202
CDKN1A,CDKN1A,54.4,protein_coding,CDKN1A-205
CDKN1B,CDKN1B,45.45,protein_coding,CDKN1B-204
CDKN1C,CDKN1C,67.48,protein_coding,CDKN1C-209
CDKN2AIPNL,CDKN2AIPNL,45.12,protein_coding,CDKN2AIPNL-202
CDON,CDON,39.95,protein_coding,CDON-202
CDS1,CDS1,38.31,protein_coding,CDS1-201
CDS2,CDS2,44.8,protein_coding,CDS2-203
CDT1,CDT1,65.3,protein_coding,CDT1-201
CDV3,CDV3,42.4,protein_coding,CDV3-201
CDYL,CDYL,42.04,protein_coding,CDYL-201
CEACAM1,CEACAM1,47.52,protein_coding,CEACAM1-203
CEACAM19,CEACAM19,47.31,protein_coding,CEACAM19-209
CEACAM6,CEACAM6,45.91,protein_coding,CEACAM6-202
CEACAM8,CEACAM8,44.38,protein_coding,CEACAM8-201
CEBPB,CEBPB,66.23,protein_coding,CEBPB-201
CEBPD,CEBPD,65.97,protein_coding,CEBPD-201
CEBPG,CEBPG,43.83,protein_coding,CEBPG-201
CEBPZ,CEBPZ,37.99,protein_coding,CEBPZ-201
CEBPZOS,CEBPZOS,38.06,protein_coding,CEBPZOS-204
CECR2,CECR2,44.03,protein_coding,CECR2-204
CELA2A,CELA2A,48.28,protein_coding,CELA2A-202
CELF1,CELF1,43.94,protein_coding,CELF1-201
CELF4,CELF4,52.36,protein_coding,CELF4-204
CELF5,CELF5,53.45,protein_coding,CELF5-201
CELSR1,CELSR1,53.93,protein_coding,CELSR1-201
CEMIP2,CEMIP2,40.46,protein_coding,CEMIP2-202
CENPBD1,CENPBD1,54.25,protein_coding,CENPBD1-204
CENPC,CENPC,36.82,protein_coding,CENPC-201
CENPF,CENPF,40.92,protein_coding,CENPF-202
CENPI,CENPI,40.62,protein_coding,CENPI-201
CENPK,CENPK,37.27,protein_coding,CENPK-215
CENPL,CENPL,40.71,protein_coding,CENPL-202
CENPM,CENPM,53.24,protein_coding,CENPM-201
CENPN,CENPN,43.26,protein_coding,CENPN-202
CENPV,CENPV,48.01,protein_coding,CENPV-202
CENPX,CENPX,65.43,protein_coding,CENPX-204
CEP104,CEP104,47.92,protein_coding,CEP104-202
CEP112,CEP112,37.96,protein_coding,CEP112-203
CEP126,CEP126,36.41,protein_coding,CEP126-204
CEP135,CEP135,37.81,protein_coding,CEP135-202
CEP152,CEP152,36.6,protein_coding,CEP152-210
CEP162,CEP162,37,protein_coding,CEP162-204
CEP164,CEP164,47.97,protein_coding,CEP164-203
CEP170,CEP170,36.28,protein_coding,CEP170-202
CEP19,CEP19,42.12,protein_coding,CEP19-202
CEP250,CEP250,47.9,protein_coding,CEP250-208
CEP290,CEP290,33.88,protein_coding,CEP290-212
CEP295,CEP295,38.56,protein_coding,CEP295-201
CEP350,CEP350,36.46,protein_coding,CEP350-202
CEP41,CEP41,39.96,protein_coding,CEP41-201
CEP44,CEP44,35.65,protein_coding,CEP44-206
CEP57,CEP57,37.69,protein_coding,CEP57-216
CEP57L1,CEP57L1,36.59,protein_coding,CEP57L1-214
CEP63,CEP63,38.5,protein_coding,CEP63-217
CEP68,CEP68,47.81,protein_coding,CEP68-203
CEP70,CEP70,39.55,protein_coding,CEP70-201
CEP76,CEP76,40.84,protein_coding,CEP76-209
CEP78,CEP78,37.2,protein_coding,CEP78-205
CEP83,CEP83,37.69,protein_coding,CEP83-214
CEP89,CEP89,45.48,protein_coding,CEP89-202
CEP95,CEP95,40.61,protein_coding,CEP95-203
CEP97,CEP97,40.59,protein_coding,CEP97-201
CEPT1,CEPT1,36.54,protein_coding,CEPT1-209
CERCAM,CERCAM,55.11,protein_coding,CERCAM-204
CERK,CERK,51.43,protein_coding,CERK-201
CERKL,CERKL,37.01,protein_coding,CERKL-206
CERS2,CERS2,52.38,protein_coding,CERS2-209
CERS4,CERS4,52.88,protein_coding,CERS4-212
CERS5,CERS5,43.85,protein_coding,CERS5-226
CERS6,CERS6,39.32,protein_coding,CERS6-201
CES2,CES2,55.49,protein_coding,CES2-202
CES4A,CES4A,51.15,protein_coding,CES4A-207
CETN2,CETN2,43.32,protein_coding,CETN2-201
CFAP20,CFAP20,44.82,protein_coding,CFAP20-201
CFAP221,CFAP221,41.66,protein_coding,CFAP221-201
CFAP298,CFAP298,47.33,protein_coding,CFAP298-205
CFAP36,CFAP36,40.44,protein_coding,CFAP36-201
CFAP54,CFAP54,38.09,protein_coding,CFAP54-206
CFAP69,CFAP69,36.1,protein_coding,CFAP69-201
CFAP70,CFAP70,39.86,protein_coding,CFAP70-206
CFAP97,CFAP97,41.18,protein_coding,CFAP97-202
CFAP97D1,CFAP97D1,43.57,protein_coding,CFAP97D1-201
CFDP1,CFDP1,42.3,protein_coding,CFDP1-209
CFI,CFI,38,protein_coding,CFI-203
CFL1,CFL1,50.18,protein_coding,CFL1-208
CFL2,CFL2,39.1,protein_coding,CFL2-201
CFLAR,CFLAR,44.35,protein_coding,CFLAR-201
CFP,CFP,55.37,protein_coding,CFP-208
CFTR,CFTR,36.59,protein_coding,CFTR-207
CGAS,CGAS,42.47,protein_coding,CGAS-202
CGGBP1,CGGBP1,35.99,protein_coding,CGGBP1-201
CGN,CGN,49.43,protein_coding,CGN-208
CGNL1,CGNL1,43.81,protein_coding,CGNL1-203
CHAF1B,CHAF1B,46.71,protein_coding,CHAF1B-201
CHAMP1,CHAMP1,42.87,protein_coding,CHAMP1-201
CHCHD1,CHCHD1,45.52,protein_coding,CHCHD1-202
CHCHD2,CHCHD2,44.9,protein_coding,CHCHD2-201
CHCHD3,CHCHD3,39.02,protein_coding,CHCHD3-201
CHCHD5,CHCHD5,53.69,protein_coding,CHCHD5-205
CHCHD7,CHCHD7,41.56,protein_coding,CHCHD7-211
CHD1,CHD1,35.16,protein_coding,CHD1-212
CHD1L,CHD1L,40.27,protein_coding,CHD1L-233
CHD2,CHD2,39.49,protein_coding,CHD2-208
CHD3,CHD3,53.17,protein_coding,CHD3-203
CHD4,CHD4,49.02,protein_coding,CHD4-201
CHD6,CHD6,41.09,protein_coding,CHD6-203
CHD7,CHD7,39.99,protein_coding,CHD7-201
CHD8,CHD8,42.52,protein_coding,CHD8-202
CHD9,CHD9,38.92,protein_coding,CHD9-218
CHDH,CHDH,49.35,protein_coding,CHDH-201
CHEK1,CHEK1,37.55,protein_coding,CHEK1-206
CHEK2,CHEK2,43.89,protein_coding,CHEK2-214
CHERP,CHERP,57.25,protein_coding,CHERP-203
CHFR,CHFR,48.69,protein_coding,CHFR-219
CHGB,CHGB,42.65,protein_coding,CHGB-201
CHI3L1,CHI3L1,54.8,protein_coding,CHI3L1-204
CHI3L2,CHI3L2,44.64,protein_coding,CHI3L2-203
CHIC2,CHIC2,36.69,protein_coding,CHIC2-201
CHID1,CHID1,59.36,protein_coding,CHID1-220
CHKA,CHKA,44.1,protein_coding,CHKA-201
CHM,CHM,36.96,protein_coding,CHM-201
CHML,CHML,37.83,protein_coding,CHML-201
CHMP1A,CHMP1A,58.52,protein_coding,CHMP1A-201
CHMP1B,CHMP1B,41.49,protein_coding,CHMP1B-201
CHMP2A,CHMP2A,54.32,protein_coding,CHMP2A-205
CHMP2B,CHMP2B,34.77,protein_coding,CHMP2B-203
CHMP3,CHMP3,40.96,protein_coding,CHMP3-201
CHMP4A,CHMP4A,50.64,protein_coding,CHMP4A-201
CHMP4B,CHMP4B,46.39,protein_coding,CHMP4B-201
CHMP4C,CHMP4C,38.06,protein_coding,CHMP4C-201
CHMP5,CHMP5,41.65,protein_coding,CHMP5-201
CHN2,CHN2,42.06,protein_coding,CHN2-212
CHORDC1,CHORDC1,35.44,protein_coding,CHORDC1-201
CHP1,CHP1,44.02,protein_coding,CHP1-203
CHPT1,CHPT1,38.42,protein_coding,CHPT1-206
CHRAC1,CHRAC1,47.59,protein_coding,CHRAC1-201
CHRD,CHRD,59.37,protein_coding,CHRD-203
CHRM5,CHRM5,40.92,protein_coding,CHRM5-203
CHRNA5,CHRNA5,40.43,protein_coding,CHRNA5-201
CHRNB1,CHRNB1,51.91,protein_coding,CHRNB1-201
CHRNB4,CHRNB4,46.53,protein_coding,CHRNB4-201
CHST12,CHST12,50.36,protein_coding,CHST12-201
CHST5,CHST5,54.7,protein_coding,CHST5-201
CHST6,CHST6,49.97,protein_coding,CHST6-201
CHSY1,CHSY1,43.4,protein_coding,CHSY1-201
CHTOP,CHTOP,44.38,protein_coding,CHTOP-204
CHUK,CHUK,38.38,protein_coding,CHUK-201
CHURC1,CHURC1,41.09,protein_coding,CHURC1-203
CHURC1-FNTB,CHURC1-FNTB,44.95,protein_coding,CHURC1-FNTB-203
CIAO1,CIAO1,48.83,protein_coding,CIAO1-203
CIAO2A,CIAO2A,41.63,protein_coding,CIAO2A-201
CIAO2B,CIAO2B,55.7,protein_coding,CIAO2B-201
CIAO3,CIAO3,60.84,protein_coding,CIAO3-201
CIAPIN1,CIAPIN1,44.27,protein_coding,CIAPIN1-201
CIART,CIART,47.53,protein_coding,CIART-205
CIB1,CIB1,56.35,protein_coding,CIB1-201
CIITA,CIITA,50.13,protein_coding,CIITA-216
CINP,CINP,46.49,protein_coding,CINP-207
CIPC,CIPC,42.97,protein_coding,CIPC-201
CIR1,CIR1,37.69,protein_coding,CIR1-201
CIRBP,CIRBP,62.55,protein_coding,CIRBP-215
CISD1,CISD1,36.69,protein_coding,CISD1-201
CISD2,CISD2,38.96,protein_coding,CISD2-205
CISD3,CISD3,56.79,protein_coding,CISD3-204
CITED2,CITED2,50.46,protein_coding,CITED2-201
CIZ1,CIZ1,52.5,protein_coding,CIZ1-229
CKAP2,CKAP2,38.86,protein_coding,CKAP2-205
CKAP4,CKAP4,44.3,protein_coding,CKAP4-201
CKAP5,CKAP5,40.42,protein_coding,CKAP5-210
CKLF,CKLF,41.69,protein_coding,CKLF-207
CKS1B,CKS1B,44.4,protein_coding,CKS1B-203
CKS2,CKS2,38.43,protein_coding,CKS2-201
CLASP1,CLASP1,41.05,protein_coding,CLASP1-216
CLASP2,CLASP2,36.82,protein_coding,CLASP2-207
CLBA1,CLBA1,53.3,protein_coding,CLBA1-209
CLCC1,CLCC1,41.67,protein_coding,CLCC1-203
CLCN2,CLCN2,55.48,protein_coding,CLCN2-201
CLCN3,CLCN3,37.1,protein_coding,CLCN3-207
CLCN5,CLCN5,39.57,protein_coding,CLCN5-202
CLDN11,CLDN11,43.14,protein_coding,CLDN11-201
CLDN12,CLDN12,39.02,protein_coding,CLDN12-204
CLDN3,CLDN3,69.15,protein_coding,CLDN3-201
CLDN4,CLDN4,49.38,protein_coding,CLDN4-204
CLDN7,CLDN7,61.53,protein_coding,CLDN7-201
CLDND1,CLDND1,38.91,protein_coding,CLDND1-205
CLEC16A,CLEC16A,48.05,protein_coding,CLEC16A-203
CLEC19A,CLEC19A,44.76,protein_coding,CLEC19A-204
CLEC2D,CLEC2D,37.39,protein_coding,CLEC2D-213
CLEC3A,CLEC3A,43.21,protein_coding,CLEC3A-201
CLEC4C,CLEC4C,45.19,protein_coding,CLEC4C-205
CLEC4E,CLEC4E,39.84,protein_coding,CLEC4E-201
CLEC7A,CLEC7A,37.42,protein_coding,CLEC7A-205
CLHC1,CLHC1,39.62,protein_coding,CLHC1-207
CLIC1,CLIC1,51,protein_coding,CLIC1-208
CLIC4,CLIC4,41.66,protein_coding,CLIC4-201
CLINT1,CLINT1,37.77,protein_coding,CLINT1-206
CLIP1,CLIP1,43.88,protein_coding,CLIP1-203
CLIP2,CLIP2,52.06,protein_coding,CLIP2-202
CLK1,CLK1,41.85,protein_coding,CLK1-201
CLK2,CLK2,50.41,protein_coding,CLK2-209
CLK3,CLK3,54.25,protein_coding,CLK3-215
CLK4,CLK4,39.49,protein_coding,CLK4-206
CLMN,CLMN,46.89,protein_coding,CLMN-201
CLMP,CLMP,45.03,protein_coding,CLMP-201
CLN3,CLN3,50.61,protein_coding,CLN3-255
CLN5,CLN5,38.81,protein_coding,CLN5-208
CLN6,CLN6,47.26,protein_coding,CLN6-201
CLN8,CLN8,49.11,protein_coding,CLN8-217
CLNK,CLNK,41.51,protein_coding,CLNK-201
CLNS1A,CLNS1A,41.76,protein_coding,CLNS1A-206
CLOCK,CLOCK,37.37,protein_coding,CLOCK-201
CLPB,CLPB,45.77,protein_coding,CLPB-201
CLPP,CLPP,53.34,protein_coding,CLPP-201
CLPTM1L,CLPTM1L,56.18,protein_coding,CLPTM1L-201
CLPX,CLPX,40,protein_coding,CLPX-201
CLSPN,CLSPN,42.79,protein_coding,CLSPN-201
CLSTN1,CLSTN1,47.37,protein_coding,CLSTN1-202
CLSTN2,CLSTN2,42.71,protein_coding,CLSTN2-201
CLTA,CLTA,44.48,protein_coding,CLTA-202
CLTC,CLTC,38.54,protein_coding,CLTC-202
CLU,CLU,49.61,protein_coding,CLU-201
CLUAP1,CLUAP1,45.57,protein_coding,CLUAP1-212
CLVS1,CLVS1,39.85,protein_coding,CLVS1-208
CMAS,CMAS,37.39,protein_coding,CMAS-201
CMBL,CMBL,46.38,protein_coding,CMBL-202
CMC1,CMC1,35.93,protein_coding,CMC1-209
CMC2,CMC2,40.64,protein_coding,CMC2-201
CMIP,CMIP,51.33,protein_coding,CMIP-202
CMPK1,CMPK1,42.2,protein_coding,CMPK1-203
CMSS1,CMSS1,38.77,protein_coding,CMSS1-201
CMTM4,CMTM4,45.26,protein_coding,CMTM4-205
CMTM6,CMTM6,38.52,protein_coding,CMTM6-201
CMTR2,CMTR2,39.62,protein_coding,CMTR2-201
CNBP,CNBP,42.41,protein_coding,CNBP-207
CNDP1,CNDP1,46.02,protein_coding,CNDP1-201
CNDP2,CNDP2,51.18,protein_coding,CNDP2-212
CNEP1R1,CNEP1R1,40.53,protein_coding,CNEP1R1-203
CNGB1,CNGB1,50.27,protein_coding,CNGB1-201
CNIH1,CNIH1,38.2,protein_coding,CNIH1-201
CNIH4,CNIH4,43.2,protein_coding,CNIH4-205
CNKSR1,CNKSR1,55.16,protein_coding,CNKSR1-201
CNKSR2,CNKSR2,35.07,protein_coding,CNKSR2-210
CNKSR3,CNKSR3,42.74,protein_coding,CNKSR3-205
CNN1,CNN1,54.88,protein_coding,CNN1-201
CNN2,CNN2,59.72,protein_coding,CNN2-201
CNN3,CNN3,42.96,protein_coding,CNN3-201
CNNM2,CNNM2,42.59,protein_coding,CNNM2-202
CNOT1,CNOT1,41.44,protein_coding,CNOT1-201
CNOT10,CNOT10,41.97,protein_coding,CNOT10-202
CNOT11,CNOT11,43.2,protein_coding,CNOT11-201
CNOT2,CNOT2,35.15,protein_coding,CNOT2-236
CNOT4,CNOT4,37.19,protein_coding,CNOT4-207
CNOT6,CNOT6,42.09,protein_coding,CNOT6-201
CNOT6L,CNOT6L,36.25,protein_coding,CNOT6L-209
CNOT7,CNOT7,36.74,protein_coding,CNOT7-201
CNOT8,CNOT8,44.08,protein_coding,CNOT8-215
CNOT9,CNOT9,41.17,protein_coding,CNOT9-209
CNP,CNP,54.55,protein_coding,CNP-202
CNPPD1,CNPPD1,54.28,protein_coding,CNPPD1-201
CNPY2,CNPY2,48.93,protein_coding,CNPY2-203
CNPY3,CNPY3,50.59,protein_coding,CNPY3-201
CNR2,CNR2,47.63,protein_coding,CNR2-201
CNST,CNST,41.31,protein_coding,CNST-204
CNTLN,CNTLN,36.43,protein_coding,CNTLN-204
CNTN2,CNTN2,54.18,protein_coding,CNTN2-231
CNTNAP2,CNTNAP2,42.82,protein_coding,CNTNAP2-227
CNTNAP3,CNTNAP3,38.24,protein_coding,CNTNAP3-201
CNTNAP3B,CNTNAP3B,38.25,protein_coding,CNTNAP3B-211
CNTNAP5,CNTNAP5,38.93,protein_coding,CNTNAP5-201
CNTRL,CNTRL,38.88,protein_coding,CNTRL-208
COA1,COA1,40.39,protein_coding,COA1-204
COA3,COA3,54.78,protein_coding,COA3-202
COA4,COA4,46.64,protein_coding,COA4-201
COA5,COA5,42.89,protein_coding,COA5-201
COA6,COA6,43.86,protein_coding,COA6-203
COA7,COA7,46,protein_coding,COA7-201
COA8,COA8,48.97,protein_coding,COA8-201
COASY,COASY,57.56,protein_coding,COASY-210
COBL,COBL,43.44,protein_coding,COBL-204
COBLL1,COBLL1,36.27,protein_coding,COBLL1-223
COG1,COG1,49.15,protein_coding,COG1-201
COG2,COG2,39.42,protein_coding,COG2-208
COG3,COG3,39.14,protein_coding,COG3-205
COG4,COG4,47.23,protein_coding,COG4-211
COG5,COG5,37.1,protein_coding,COG5-202
COG6,COG6,35.35,protein_coding,COG6-202
COG7,COG7,45.97,protein_coding,COG7-201
COIL,COIL,42.99,protein_coding,COIL-201
COL1A2,COL1A2,37.57,protein_coding,COL1A2-201
COL27A1,COL27A1,52.26,protein_coding,COL27A1-201
COL28A1,COL28A1,38.55,protein_coding,COL28A1-202
COL6A3,COL6A3,44.57,protein_coding,COL6A3-210
COL8A1,COL8A1,38.48,protein_coding,COL8A1-205
COLEC11,COLEC11,51.1,protein_coding,COLEC11-210
COLEC12,COLEC12,43.13,protein_coding,COLEC12-202
COLGALT1,COLGALT1,52.81,protein_coding,COLGALT1-201
COMMD1,COMMD1,41.05,protein_coding,COMMD1-208
COMMD10,COMMD10,37.45,protein_coding,COMMD10-201
COMMD2,COMMD2,37.9,protein_coding,COMMD2-203
COMMD3,COMMD3,37.41,protein_coding,COMMD3-201
COMMD4,COMMD4,53.23,protein_coding,COMMD4-201
COMMD5,COMMD5,53.13,protein_coding,COMMD5-205
COMMD6,COMMD6,40,protein_coding,COMMD6-203
COMMD7,COMMD7,48.22,protein_coding,COMMD7-201
COMMD9,COMMD9,42.17,protein_coding,COMMD9-202
COMP,COMP,62.85,protein_coding,COMP-203
COMT,COMT,53.41,protein_coding,COMT-202
COP1,COP1,36.3,protein_coding,COP1-206
COPA,COPA,40.57,protein_coding,COPA-201
COPB1,COPB1,38.27,protein_coding,COPB1-208
COPB2,COPB2,37.58,protein_coding,COPB2-203
COPE,COPE,57.05,protein_coding,COPE-210
COPG1,COPG1,48.18,protein_coding,COPG1-201
COPS2,COPS2,35.44,protein_coding,COPS2-207
COPS3,COPS3,44.68,protein_coding,COPS3-212
COPS4,COPS4,40.06,protein_coding,COPS4-206
COPS5,COPS5,39.82,protein_coding,COPS5-212
COPS6,COPS6,52.66,protein_coding,COPS6-201
COPS7A,COPS7A,50.43,protein_coding,COPS7A-215
COPS7B,COPS7B,44.9,protein_coding,COPS7B-207
COPS8,COPS8,38.3,protein_coding,COPS8-201
COPS9,COPS9,54.66,protein_coding,COPS9-201
COPZ1,COPZ1,46.59,protein_coding,COPZ1-216
COQ10A,COQ10A,50.99,protein_coding,COQ10A-201
COQ10B,COQ10B,41.73,protein_coding,COQ10B-201
COQ4,COQ4,51.72,protein_coding,COQ4-201
COQ5,COQ5,45.87,protein_coding,COQ5-201
COQ6,COQ6,45.54,protein_coding,COQ6-202
COQ7,COQ7,46.17,protein_coding,COQ7-201
COQ8A,COQ8A,49.11,protein_coding,COQ8A-203
COQ8B,COQ8B,52.66,protein_coding,COQ8B-202
COQ9,COQ9,45.83,protein_coding,COQ9-209
CORIN,CORIN,38.52,protein_coding,CORIN-201
CORO1C,CORO1C,41.35,protein_coding,CORO1C-201
CORO2A,CORO2A,49.15,protein_coding,CORO2A-201
CORO7,CORO7,57.56,protein_coding,CORO7-201
COTL1,COTL1,50.24,protein_coding,COTL1-201
COX11,COX11,41.57,protein_coding,COX11-209
COX14,COX14,49.31,protein_coding,COX14-203
COX15,COX15,42.42,protein_coding,COX15-202
COX16,COX16,39.51,protein_coding,COX16-201
COX17,COX17,41.28,protein_coding,COX17-205
COX18,COX18,40.47,protein_coding,COX18-201
COX19,COX19,58.96,protein_coding,COX19-202
COX20,COX20,38.72,protein_coding,COX20-203
COX4I1,COX4I1,50.8,protein_coding,COX4I1-209
COX5A,COX5A,44.77,protein_coding,COX5A-201
COX5B,COX5B,50.22,protein_coding,COX5B-201
COX6A1,COX6A1,48.26,protein_coding,COX6A1-203
COX6B1,COX6B1,48.83,protein_coding,COX6B1-204
COX6B2,COX6B2,59.73,protein_coding,COX6B2-205
COX6C,COX6C,40.71,protein_coding,COX6C-207
COX7A2,COX7A2,40.34,protein_coding,COX7A2-201
COX7A2L,COX7A2L,44,protein_coding,COX7A2L-206
COX7B,COX7B,40.81,protein_coding,COX7B-201
COX7C,COX7C,42.04,protein_coding,COX7C-201
COX8A,COX8A,56.81,protein_coding,COX8A-201
CP,CP,37.36,protein_coding,CP-210
CPA4,CPA4,46.73,protein_coding,CPA4-211
CPAMD8,CPAMD8,50.2,protein_coding,CPAMD8-203
CPB1,CPB1,37.66,protein_coding,CPB1-208
CPD,CPD,38.51,protein_coding,CPD-201
CPE,CPE,38.22,protein_coding,CPE-205
CPEB1,CPEB1,42.56,protein_coding,CPEB1-217
CPEB2,CPEB2,34.97,protein_coding,CPEB2-206
CPEB3,CPEB3,40.86,protein_coding,CPEB3-202
CPEB4,CPEB4,37.29,protein_coding,CPEB4-201
CPLANE1,CPLANE1,38.94,protein_coding,CPLANE1-205
CPM,CPM,41.46,protein_coding,CPM-203
CPNE1,CPNE1,43.12,protein_coding,CPNE1-202
CPNE2,CPNE2,54.03,protein_coding,CPNE2-201
CPNE3,CPNE3,37.62,protein_coding,CPNE3-203
CPPED1,CPPED1,44.39,protein_coding,CPPED1-202
CPQ,CPQ,38.13,protein_coding,CPQ-201
CPS1,CPS1,36.31,protein_coding,CPS1-202
CPSF1,CPSF1,59.96,protein_coding,CPSF1-206
CPSF2,CPSF2,39.58,protein_coding,CPSF2-201
CPSF3,CPSF3,42.05,protein_coding,CPSF3-201
CPSF4,CPSF4,53.24,protein_coding,CPSF4-204
CPSF6,CPSF6,35.75,protein_coding,CPSF6-202
CPSF7,CPSF7,44.18,protein_coding,CPSF7-201
CPT1A,CPT1A,50.04,protein_coding,CPT1A-206
CPT1C,CPT1C,53.01,protein_coding,CPT1C-205
CPT2,CPT2,44.5,protein_coding,CPT2-201
CR1,CR1,39.16,protein_coding,CR1-202
CRABP2,CRABP2,55.42,protein_coding,CRABP2-203
CRACR2A,CRACR2A,45.71,protein_coding,CRACR2A-202
CRACR2B,CRACR2B,66.16,protein_coding,CRACR2B-206
CRB1,CRB1,36.53,protein_coding,CRB1-205
CRBN,CRBN,37.25,protein_coding,CRBN-215
